platform,content_id,author,text,title,description,hashtags,view_count,like_count,comment_count,engagement_score,posted_at,url,duration_seconds
youtube,9iCRrncEJZo,LANEIGE US,"THE DESSERT MENU YOUR LIPS DESERVE!! 🍰💋 Laneige Lip Sleeping Masks Serving: 6 delicious shades of overnight lip magic 💖✨

Clinically proven 8HR hydration, antioxidant-rich, and tastes like summer (for your lips only😉). 

Which flavor are you picking off the menu? 👀

Shop them now @Sephora, #sephora  at @kohls , and our site!

#lipmask #lipcare #laneige #kbeauty #koreanskincare #drylips #lipsleepingmask #lips #lipbalm",THE DESSERT MENU YOUR LIPS DESERVE!! 🍰💋 Laneige Lip Sleeping Masks,"Serving: 6 delicious shades of overnight lip magic 💖✨

Clinically proven 8HR hydration, antioxidant-rich, and tastes like summer (for your lips only😉). 

Which flavor are you picking off the menu? 👀

Shop them now @Sephora, #sephora  at @kohls , and our site!

#lipmask #lipcare #laneige #kbeauty #koreanskincare #drylips #lipsleepingmask #lips #lipbalm",,202761,5224,687,6598,2025-08-13T20:51:00,https://www.youtube.com/watch?v=9iCRrncEJZo,13
youtube,P8zw8ubeamQ,Aditya Madiraju,LIP GLAZE DONUT INSPIRED 🍩✨ @LANEIGE_US #lipglaze #laneige #lipgloss #lipstick ,LIP GLAZE DONUT INSPIRED 🍩✨ @LANEIGE_US #lipglaze #laneige #lipgloss #lipstick,,,256212,10602,138,10878,2025-03-03T23:59:09,https://www.youtube.com/watch?v=P8zw8ubeamQ,90
youtube,imxmFCuCNLQ,LANEIGE US,"The Making of a Laneige Lip Sleeping Mask 💗 #satisfyingvideo #factory #bts Shop on Sephora: https://www.sephora.com/product/P420652
Shop on Amazon: https://www.amazon.com/dp/B07XXPHQZK
Shop on Laneige: https://us.laneige.com/products/lip-sleeping-mask

The little pink jar that we know and love is filled with antioxidant-rich ingredients to nourish and visibly smooth your lips. 

Apply Lip Sleeping Mask before you go to bed to strengthen lips moisture barrier and deeply hydrate lips while you sleep 💗

Shop all the flavors of Lip Sleeping Mask today at @Sephora, #Sephora at @kohls, @amazon and on us.laneige.com 

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #lipgloss #glossy #lips #lipcare #vlog #beautyvlog #satisfying #satisfyingvideo #moisturebarrier #humor #trend #behindthescene #factory",The Making of a Laneige Lip Sleeping Mask 💗 #satisfyingvideo #factory #bts,"Shop on Sephora: https://www.sephora.com/product/P420652
Shop on Amazon: https://www.amazon.com/dp/B07XXPHQZK
Shop on Laneige: https://us.laneige.com/products/lip-sleeping-mask

The little pink jar that we know and love is filled with antioxidant-rich ingredients to nourish and visibly smooth your lips. 

Apply Lip Sleeping Mask before you go to bed to strengthen lips moisture barrier and deeply hydrate lips while you sleep 💗

Shop all the flavors of Lip Sleeping Mask today at @Sephora, #Sephora at @kohls, @amazon and on us.laneige.com 

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #lipgloss #glossy #lips #lipcare #vlog #beautyvlog #satisfying #satisfyingvideo #moisturebarrier #humor #trend #behindthescene #factory",,3915864,54497,795,56087,2025-06-13T13:01:18,https://www.youtube.com/watch?v=imxmFCuCNLQ,11
youtube,ZJkG4G5dO3w,LANEIGE US,"CAN’T GO TO WORK WITHOUT THIS 💼😎 Laneige Hydration To Go Set What’s in my work bag? Just the essentials… and a tiny hydration army. 👀💼 

Hydration to-go all the glow goals in check- even when in back-to-back meetings. Small in size, major in moisture ✨💧

Shop now @Sephora , #sephora @kohls , and on our site!

#kbeauty #laneige",CAN’T GO TO WORK WITHOUT THIS 💼😎 Laneige Hydration To Go Set,"What’s in my work bag? Just the essentials… and a tiny hydration army. 👀💼 

Hydration to-go all the glow goals in check- even when in back-to-back meetings. Small in size, major in moisture ✨💧

Shop now @Sephora , #sephora @kohls , and on our site!

#kbeauty #laneige",,95129,3504,130,3764,2025-09-23T21:42:31,https://www.youtube.com/watch?v=ZJkG4G5dO3w,17
youtube,LO9SlQYxTnM,LANEIGE US,"HOW MANY SCOOPS IN A MINI LANEIGE LIP SLEEPING MASK?! Mini Lip Sleeping Mask is still available in the Heavenly Hydration set!! Shop this limited edition holiday set before it's gone for the season 

Shop now on us.laneige.com, Sephora, Sephora at Kohls and Amazon 

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #amazon #amazonprime #lipgloss #glossy #lips #lipcare #moisturizer #oilyskin #normalskin #dryskin #skincarehacks",HOW MANY SCOOPS IN A MINI LANEIGE LIP SLEEPING MASK?!,"Mini Lip Sleeping Mask is still available in the Heavenly Hydration set!! Shop this limited edition holiday set before it's gone for the season 

Shop now on us.laneige.com, Sephora, Sephora at Kohls and Amazon 

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #amazon #amazonprime #lipgloss #glossy #lips #lipcare #moisturizer #oilyskin #normalskin #dryskin #skincarehacks",,4519275,149699,1734,153167,2023-12-06T20:00:09,https://www.youtube.com/watch?v=LO9SlQYxTnM,29
youtube,VkP29g6sNh8,LANEIGE US,"A GALAXY BUT ON YOUR LIPS 😉🌌 Laneige Stardust Lip Glowy Balm POV: you just discovered a new galaxy on the back of your hand 🚀💖

Stardust Lip Glowy Balm is our go-to for glossed-up lips with a hint of sparkle! Wear Pink Supernova and Milky Way as separate looks or mix the shimmers for something new✨

Shop now on the @Sephora  app, #Sephora at @kohls, and us.laneige.com

#kbeauty #lipglowybalm #glitterlips #laneige",A GALAXY BUT ON YOUR LIPS 😉🌌 Laneige Stardust Lip Glowy Balm,"POV: you just discovered a new galaxy on the back of your hand 🚀💖

Stardust Lip Glowy Balm is our go-to for glossed-up lips with a hint of sparkle! Wear Pink Supernova and Milky Way as separate looks or mix the shimmers for something new✨

Shop now on the @Sephora  app, #Sephora at @kohls, and us.laneige.com

#kbeauty #lipglowybalm #glitterlips #laneige",,840293,13855,577,15009,2025-09-18T21:03:27,https://www.youtube.com/watch?v=VkP29g6sNh8,11
youtube,_HYQdVxfz44,LANEIGE US,"NO LIPPIE SHALL BE LEFT BEHIND 😅🫶 Laniege Matcha Bubble Tea Lip Glowy Balm Forgot your balm ~again~?👀 Your lips noticed. Time to stock up... one for every bag, desk, & “just in case” moment.

Shop your fave #laneige lippies like Matcha Lip Glowy Balm, now @amazon  @amazonbeauty !

#kbeauty #amazon",NO LIPPIE SHALL BE LEFT BEHIND 😅🫶 Laniege Matcha Bubble Tea Lip Glowy Balm,"Forgot your balm ~again~?👀 Your lips noticed. Time to stock up... one for every bag, desk, & “just in case” moment.

Shop your fave #laneige lippies like Matcha Lip Glowy Balm, now @amazon  @amazonbeauty !

#kbeauty #amazon",,151373,5295,171,5637,2025-09-17T21:09:02,https://www.youtube.com/watch?v=_HYQdVxfz44,13
youtube,MeoTGQ_pIAI,LANEIGE US,"Adding Boba balls into our Bubble Tea Lip Sleeping Mask... Anyone want some? 😂 Meet the latest limited edition Laneige lip scents: 🍵 Matcha and 🪻 Taro Bubble Tea Lip Sleeping Mask 

🌙 Lip Sleeping Mask: Apply at night before you go to bed to nourish and deeply hydrate lips while you sleep! 

Shop the new Matcha Bubble Tea and Taro Bubble Tea Lip Sleeping Mask at @Sephora, #sephora at @kohls and on us.laneige.com

#laneige #sephora #new #limitededition #lipgloss #lipcare #matcha #matchaice #taro #bubbletea #bubble #gloss #lipmask #lipsleepingmask #lipglowybalm #balm #preppy #preppyyyy",Adding Boba balls into our Bubble Tea Lip Sleeping Mask... Anyone want some? 😂,"Meet the latest limited edition Laneige lip scents: 🍵 Matcha and 🪻 Taro Bubble Tea Lip Sleeping Mask 

🌙 Lip Sleeping Mask: Apply at night before you go to bed to nourish and deeply hydrate lips while you sleep! 

Shop the new Matcha Bubble Tea and Taro Bubble Tea Lip Sleeping Mask at @Sephora, #sephora at @kohls and on us.laneige.com

#laneige #sephora #new #limitededition #lipgloss #lipcare #matcha #matchaice #taro #bubbletea #bubble #gloss #lipmask #lipsleepingmask #lipglowybalm #balm #preppy #preppyyyy",,6256933,84687,2472,89631,2025-06-18T13:00:41,https://www.youtube.com/watch?v=MeoTGQ_pIAI,16
youtube,3fAFCZfiUns,LANEIGE US,"TRAVEL WITH THESE MINIS EVERYHRE YOU GO💄💫Laneige Glowy Lip Minis Glow wherever you go 👀✈️

The Glowy Lip Minis Set features 4 fave flavors- Berry, Gummy Bear, Blueberry and Mango- in travel-ready sizes! 💋

Packed with Murmuru seed + shea butters for smooth, soft lips anywhere you go.

Shop now @Sephora, #sephora @kohls, and us.laneige.com

#kbeauty #laneige",TRAVEL WITH THESE MINIS EVERYHRE YOU GO💄💫Laneige Glowy Lip Minis,"Glow wherever you go 👀✈️

The Glowy Lip Minis Set features 4 fave flavors- Berry, Gummy Bear, Blueberry and Mango- in travel-ready sizes! 💋

Packed with Murmuru seed + shea butters for smooth, soft lips anywhere you go.

Shop now @Sephora, #sephora @kohls, and us.laneige.com

#kbeauty #laneige",,142059,4553,287,5127,2025-09-22T00:22:30,https://www.youtube.com/watch?v=3fAFCZfiUns,13
youtube,KSr7JylORbY,LANEIGE US,"Laneige Glossy Lip Glowy Balm Art Laneige Lip Glowy Balm comes in four different flavors: Berry, Grapefruit, Peach and Gummy Bear! The pocket-size lippie is perfect for on the go, ready to gloss and tint your lips at any moment

Lip Glowy Balm is available at Sephora, Amazon and on us.laneige.com

#laneige #kbeauty #beauty #skincare #koreanskincare #sephora #lipgloss #lipglowybalm #lipbalm #gloss #lips",Laneige Glossy Lip Glowy Balm Art,"Laneige Lip Glowy Balm comes in four different flavors: Berry, Grapefruit, Peach and Gummy Bear! The pocket-size lippie is perfect for on the go, ready to gloss and tint your lips at any moment

Lip Glowy Balm is available at Sephora, Amazon and on us.laneige.com

#laneige #kbeauty #beauty #skincare #koreanskincare #sephora #lipgloss #lipglowybalm #lipbalm #gloss #lips",,1190659,22710,284,23278,2023-10-13T20:00:04,https://www.youtube.com/watch?v=KSr7JylORbY,9
youtube,UwqPSTf4atw,LANEIGE US,"How Sydney Sweeney Gets the Perfect Laneige Water Bank Cream Moisturizer Swatch Ever wonder how we get a perfect swatch on Sydney Sweeney's face? Secret's out! It's her Makeup Artist, Melissa Hernandez. 

Water Bank Cream Moisturizer provides long-lasting hydration, visibly firms and smooths skin and boosts moisture barrier. Available at Sephora, Amazon and on us.laneige.com

#laneige #kbeauty #beauty #skincare #koreanskincare #sephora #sephora #moisturizer #facecream #hydration #hydratewithlaneige #sydneysweeney #celebrity #bts #behindthescenes",How Sydney Sweeney Gets the Perfect Laneige Water Bank Cream Moisturizer Swatch,"Ever wonder how we get a perfect swatch on Sydney Sweeney's face? Secret's out! It's her Makeup Artist, Melissa Hernandez. 

Water Bank Cream Moisturizer provides long-lasting hydration, visibly firms and smooths skin and boosts moisture barrier. Available at Sephora, Amazon and on us.laneige.com

#laneige #kbeauty #beauty #skincare #koreanskincare #sephora #sephora #moisturizer #facecream #hydration #hydratewithlaneige #sydneysweeney #celebrity #bts #behindthescenes",,28345593,1030765,1125,1033015,2023-10-30T14:00:17,https://www.youtube.com/watch?v=UwqPSTf4atw,17
youtube,6MmjlczPDNc,LANEIGE US,"WE LOVE A GLOSSY SWATCH 💋💖 Laneige Lip Glowy Balm The stars have aligned... and they brought the glossiest lineup yet ✨

Take your pick: nourishing hydration with a tinted glow or power up your pout with Pink Supernova's pink & gold shimmer (or Milky Way's silver sparkle)

Shop your favorite lippies now available @Sephora , #sephora at @kohls, & us.laneige.com

#laneige #lipcare #lipbalm #limitededition #shimmer #sparkle #lipbalm #kbeauty #koreanskincare",WE LOVE A GLOSSY SWATCH 💋💖 Laneige Lip Glowy Balm,"The stars have aligned... and they brought the glossiest lineup yet ✨

Take your pick: nourishing hydration with a tinted glow or power up your pout with Pink Supernova's pink & gold shimmer (or Milky Way's silver sparkle)

Shop your favorite lippies now available @Sephora , #sephora at @kohls, & us.laneige.com

#laneige #lipcare #lipbalm #limitededition #shimmer #sparkle #lipbalm #kbeauty #koreanskincare",,665680,12640,777,14194,2025-09-14T19:37:32,https://www.youtube.com/watch?v=6MmjlczPDNc,8
youtube,JUGFD6m9b1s,LANEIGE US,"GROUP 7 IF YOU’RE SEEING THIS… 🤝👀 Laneige Lip Sleeping Mask Group 7 gets it. This is what our world revolves around rn if anyone cares: Minty Lip Duo, Midnight Minis, Glaze Craze, Lip Glowy Balm & Lip Sleeping Masks🪐

The @Sephora Fall Savings Event is almost here... whether you’re Rouge, VIB, or Insider, it’s the perfect time to stock up on faves like these (& so much more)
🛍️ Rouge: 20% off | 10/31–11/10
🛍️ VIB: 15% off | 11/4–11/10
🛍️ Insider: 10% off | 11/4–11/10

What will you be adding to your cart?

#laneige #kbeauty #sephora #haul #giftsets #group7 #humor",GROUP 7 IF YOU’RE SEEING THIS… 🤝👀 Laneige Lip Sleeping Mask,"Group 7 gets it. This is what our world revolves around rn if anyone cares: Minty Lip Duo, Midnight Minis, Glaze Craze, Lip Glowy Balm & Lip Sleeping Masks🪐

The @Sephora Fall Savings Event is almost here... whether you’re Rouge, VIB, or Insider, it’s the perfect time to stock up on faves like these (& so much more)
🛍️ Rouge: 20% off | 10/31–11/10
🛍️ VIB: 15% off | 11/4–11/10
🛍️ Insider: 10% off | 11/4–11/10

What will you be adding to your cart?

#laneige #kbeauty #sephora #haul #giftsets #group7 #humor",,148815,4611,158,4927,2025-10-28T14:01:53,https://www.youtube.com/watch?v=JUGFD6m9b1s,7
youtube,c-huuq06WnY,LANEIGE US,"MOM REVIEWS MY LANEIGE HAUL IN 3 LANGUAGES ✨✅ Next-Gen Hydration ​If mom likes it in all 3 languages, it’s staying in the routine @AylenPark ✅✨
This haul is packed with skincare innovations that deliver hydration that hits your skin different:

🥛 Cream Skin- the OG milky toner-moisturizer combo for deep hydration and barrier support.
💧 Water Bank Cream Moisturizer- powered by micro-sized Blue Hyaluronic Acid for instant, lasting moisture deep in your skin.
🌙 Water Sleeping Mask- lightweight overnight gel-cream that seals in hydration and brightening benefits.
💋 Lip Sleeping Mask- the overnight lip hero that gently exfoliates and nourishes for soft, supple lips by morning.

Built on Korean technology, this next-gen stack gives you deep hydration, lasting glow, and a stronger moisture barrier- so you can glow on, day and night.

Shop them now @Sephora , #sephora at @kohls and our site 

#mom #voiceover #koreanskincare #laneige #kbeauty",MOM REVIEWS MY LANEIGE HAUL IN 3 LANGUAGES ✨✅ Next-Gen Hydration,"​If mom likes it in all 3 languages, it’s staying in the routine @AylenPark ✅✨
This haul is packed with skincare innovations that deliver hydration that hits your skin different:

🥛 Cream Skin- the OG milky toner-moisturizer combo for deep hydration and barrier support.
💧 Water Bank Cream Moisturizer- powered by micro-sized Blue Hyaluronic Acid for instant, lasting moisture deep in your skin.
🌙 Water Sleeping Mask- lightweight overnight gel-cream that seals in hydration and brightening benefits.
💋 Lip Sleeping Mask- the overnight lip hero that gently exfoliates and nourishes for soft, supple lips by morning.

Built on Korean technology, this next-gen stack gives you deep hydration, lasting glow, and a stronger moisture barrier- so you can glow on, day and night.

Shop them now @Sephora , #sephora at @kohls and our site 

#mom #voiceover #koreanskincare #laneige #kbeauty",,150295,4849,185,5219,2025-08-14T20:23:19,https://www.youtube.com/watch?v=c-huuq06WnY,27
youtube,YmmkJqPrCJI,LANEIGE US,"Stocking Stuffer Idea: Laneige Lip Glowy Balm Keychain No more worrying about losing track of your glossy Lip Glowy Balm! Try this DIY hack and create a keychain out of your Lip Glowy Balm 

Available at Sephora and Sephora at Kohls today 

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #amazon #amazonprime #lipgloss #glossy #lips #lipcare #moisturizer #oilyskin #normalskin #dryskin #skincarehacks",Stocking Stuffer Idea: Laneige Lip Glowy Balm Keychain,"No more worrying about losing track of your glossy Lip Glowy Balm! Try this DIY hack and create a keychain out of your Lip Glowy Balm 

Available at Sephora and Sephora at Kohls today 

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #amazon #amazonprime #lipgloss #glossy #lips #lipcare #moisturizer #oilyskin #normalskin #dryskin #skincarehacks",,7200680,291580,910,293400,2023-12-16T15:00:32,https://www.youtube.com/watch?v=YmmkJqPrCJI,13
